id,goals,assists,cleansheets,influence,creativity,threat,ict,minutes,gw
466,0,0,0,3.0,1.3,2.0,0.6,62,7
468,0,0,1,3.4,26.6,49.0,7.9,89,7
487,0,0,0,0.0,3.3,0.0,0.3,10,7
496,0,0,0,1.0,0.0,2.0,0.3,16,7
501,0,0,0,6.2,1.7,42.0,5.0,90,7
502,0,0,0,0.0,4.1,2.0,0.6,78,7
504,0,0,0,0.0,0.0,0.0,0.0,0,7
509,0,0,0,0.0,0.0,0.0,0.0,0,7
512,0,0,0,8.6,13.8,49.0,7.1,90,7
514,0,0,0,0.0,0.0,0.0,0.0,0,7
520,0,0,0,6.2,1.4,2.0,1.0,27,7
534,0,0,0,0.2,0.6,0.0,0.1,25,7
535,0,0,0,0.0,0.0,0.0,0.0,0,7
538,0,0,0,0.0,0.0,0.0,0.0,0,7
547,0,0,0,0.0,0.3,4.0,0.3,13,7
14,0,0,1,15.0,0.0,0.0,1.5,90,8
27,0,0,0,0.0,0.0,0.0,0.0,0,8
47,0,0,1,20.2,0.0,0.0,2.0,90,8
48,0,0,0,0.0,0.0,0.0,0.0,0,8
72,0,0,0,0.0,0.0,0.0,0.0,0,8
73,0,0,0,0.0,0.0,0.0,0.0,0,8
74,0,0,0,0.0,0.0,0.0,0.0,0,8
93,0,0,1,14.4,0.0,0.0,1.4,90,8
94,0,0,0,28.2,0.0,0.0,2.8,90,8
95,0,0,0,0.0,0.0,0.0,0.0,0,8
111,0,0,0,7.6,0.0,0.0,0.8,90,8
112,0,0,0,0.0,0.0,0.0,0.0,0,8
131,0,0,0,34.2,0.0,0.0,3.4,90,8
132,0,0,0,0.0,0.0,0.0,0.0,0,8
148,0,0,0,20.8,0.0,0.0,2.1,90,8
149,0,0,0,0.0,0.0,0.0,0.0,0,8
168,0,0,0,50.4,0.0,0.0,5.0,90,8
169,0,0,0,0.0,0.0,0.0,0.0,0,8
170,0,0,0,0.0,0.0,0.0,0.0,0,8
189,0,0,0,0.0,0.0,0.0,0.0,0,8
190,0,0,0,0.0,0.0,0.0,0.0,0,8
212,0,0,0,2.8,0.0,0.0,0.3,90,8
213,0,0,0,0.0,0.0,0.0,0.0,0,8
235,0,0,0,7.6,0.0,0.0,0.8,90,8
236,0,0,0,0.0,0.0,0.0,0.0,0,8
237,0,0,0,0.0,0.0,0.0,0.0,0,8
262,0,0,1,22.6,0.0,0.0,2.3,90,8
263,0,0,0,0.0,0.0,0.0,0.0,0,8
264,0,0,0,0.0,0.0,0.0,0.0,0,8
280,0,0,0,0.0,0.0,0.0,0.0,0,8
281,0,0,0,63.6,0.0,0.0,6.4,90,8
299,0,0,0,0.0,0.0,0.0,0.0,0,8
317,0,0,0,0.0,0.0,0.0,0.0,0,8
318,0,0,0,0.0,0.0,0.0,0.0,0,8
319,0,0,0,17.8,0.0,0.0,1.8,90,8
340,0,0,0,0.0,0.0,0.0,0.0,8,8
341,0,0,0,22.6,0.0,0.0,2.3,82,8
366,0,0,1,23.6,0.0,0.0,2.4,90,8
367,0,0,0,0.0,0.0,0.0,0.0,0,8
388,0,0,0,0.0,0.0,0.0,0.0,0,8
411,0,0,1,11.6,0.0,0.0,1.2,90,8
412,0,0,0,0.0,0.0,0.0,0.0,0,8
413,0,0,0,0.0,0.0,0.0,0.0,0,8
427,0,0,0,0.0,0.0,0.0,0.0,0,8
429,0,0,0,0.0,0.0,0.0,0.0,0,8
436,0,0,0,0.0,0.0,0.0,0.0,0,8
449,0,0,0,0.0,0.0,0.0,0.0,0,8
450,0,0,0,7.0,0.0,0.0,0.7,90,8
471,0,0,1,17.6,0.0,0.0,1.8,90,8
474,0,0,0,0.0,0.0,0.0,0.0,0,8
479,0,0,0,0.0,0.0,0.0,0.0,0,8
494,0,0,0,10.6,0.0,0.0,1.1,90,8
495,0,0,0,0.0,0.0,0.0,0.0,0,8
513,0,0,0,0.0,0.0,0.0,0.0,0,8
521,0,0,0,0.0,0.0,0.0,0.0,0,8
526,0,0,0,4.8,0.0,0.0,0.5,90,8
530,0,0,0,0.0,0.0,0.0,0.0,0,8
531,0,0,0,0.0,0.0,0.0,0.0,0,8
543,0,0,0,0.0,0.0,0.0,0.0,0,8
548,0,0,0,0.0,0.0,0.0,0.0,0,8
551,0,0,0,0.0,0.0,0.0,0.0,0,8
553,0,0,0,0.0,0.0,0.0,0.0,0,8
1,0,0,0,0.0,0.0,0.0,0.0,0,8
2,0,0,0,0.0,0.0,0.0,0.0,0,8
3,0,0,1,8.4,2.0,0.0,1.0,90,8
4,0,0,0,0.0,0.0,0.0,0.0,0,8
5,0,0,1,17.6,0.7,0.0,1.8,90,8
6,0,0,0,0.0,0.0,0.0,0.0,0,8
7,0,0,0,0.0,0.0,0.0,0.0,0,8
8,0,0,0,0.0,0.0,0.0,0.0,0,8
9,0,0,0,0.0,0.0,0.0,0.0,0,8
10,0,0,0,0.0,0.0,0.0,0.0,0,8
22,0,0,0,0.0,0.0,0.0,0.0,0,8
23,0,0,0,0.0,0.0,0.0,0.0,0,8
24,0,0,0,0.0,0.0,0.0,0.0,0,8
25,0,0,0,0.0,0.0,0.0,0.0,0,8
37,0,0,0,0.0,0.0,0.0,0.0,0,8
38,0,0,1,8.4,4.1,10.0,2.3,90,8
39,0,0,0,0.0,0.0,0.0,0.0,0,8
40,0,0,0,0.0,0.0,0.0,0.0,0,8
41,0,0,0,0.6,0.5,0.0,0.1,2,8
42,0,1,1,38.8,10.6,0.0,4.9,90,8
43,0,0,0,0.0,0.0,0.0,0.0,0,8
58,0,0,0,21.2,0.3,4.0,2.6,90,8
59,0,0,0,23.8,10.3,0.0,3.4,90,8
60,0,0,0,0.0,0.0,0.0,0.0,0,8
61,0,0,0,0.0,0.0,0.0,0.0,0,8
62,0,0,0,8.6,0.3,0.0,0.9,11,8
63,0,0,0,0.0,0.0,0.0,0.0,0,8
64,0,0,0,0.0,0.0,0.0,0.0,0,8
65,0,0,0,17.6,19.2,0.0,3.7,90,8
66,0,0,0,0.0,0.0,0.0,0.0,0,8
83,0,0,1,28.2,10.3,6.0,4.5,90,8
84,0,0,1,26.0,10.4,6.0,4.2,90,8
85,0,0,1,15.0,4.9,2.0,2.2,90,8
86,0,0,0,0.0,0.0,0.0,0.0,0,8
87,0,0,0,14.0,14.6,2.0,3.1,35,8
88,0,0,0,0.0,0.0,0.0,0.0,0,8
89,0,0,0,0.0,0.0,0.0,0.0,0,8
103,0,1,0,38.8,17.3,8.0,6.4,90,8
104,0,0,0,0.0,0.0,0.0,0.0,0,8
105,0,0,0,9.8,2.2,0.0,1.2,90,8
106,1,0,1,41.2,3.4,17.0,6.2,90,8
107,0,0,0,0.0,0.0,0.0,0.0,0,8
108,0,0,0,0.0,0.0,0.0,0.0,0,8
109,0,0,0,0.0,0.0,0.0,0.0,0,8
122,0,0,0,0.0,0.0,0.0,0.0,0,8
123,1,0,0,44.4,24.3,17.0,8.6,90,8
124,0,0,0,0.0,0.0,0.0,0.0,0,8
125,0,0,0,0.0,0.0,0.0,0.0,0,8
126,0,0,0,12.6,6.3,2.0,2.1,90,8
127,0,0,0,0.0,0.0,0.0,0.0,0,8
128,0,1,0,35.4,10.4,4.0,5.0,90,8
141,0,0,0,9.4,26.8,2.0,3.8,90,8
142,0,0,0,17.4,0.4,4.0,2.2,90,8
143,0,0,0,11.6,0.3,11.0,2.3,90,8
